id,hotel_name,country,region,website,instagram_handle,instagram_url,notes
42,The Capitol Hotel Tokyu,Japan,Asia-Pacific,https://www.tokyuhotels.co.jp/en/capitol-h/index.html,@thecapitolhoteltokyu,https://www.instagram.com/thecapitolhoteltokyu,
43,"Carlton Cannes, a Regent Hotel",France,Europe,https://carltoncannes.com/en/,@carltoncannes,https://www.instagram.com/carltoncannes,
44,Carlton Hotel St. Moritz,Switzerland,Europe,https://tschuggencollection.ch/en/hotel/carlton-hotel,@carltonstmoritz,https://www.instagram.com/carltonstmoritz,
45,"Caruso, A Belmond Hotel, Amalfi Coast",Italy,Europe,https://www.belmond.com/hotels/europe/italy/amalfi-coast/belmond-hotel-caruso/,@belmondhotelcaruso,https://www.instagram.com/belmondhotelcaruso,
46,Casa Angelina,Italy,Europe,https://www.casangelina.com/,@casaangelinalifestyle,https://www.instagram.com/casaangelinalifestyle,
47,Castelfalfi,Italy,Europe,https://www.castelfalfi.com/,@castelfalfi,https://www.instagram.com/castelfalfi,
48,"Castiglion del Bosco, A Rosewood Hotel",Italy,Europe,https://www.rosewoodhotels.com/en/castiglion-del-bosco,@rosewoodcastigliondelbosco,https://www.instagram.com/rosewoodcastigliondelbosco,
49,The Chanler at Cliff Walk,United States,Americas,https://www.thechanler.com/,@thechanler,https://www.instagram.com/thechanler,
50,The Chateau at Nemacolin,United States,Americas,https://www.nemacolin.com/properties/the-chateau/,,,No property-specific IG for The Chateau; Nemacolin resort uses @nemacolin. Needs confirmation.
51,Chatham Bars Inn,United States,Americas,https://www.chathambarsinn.com/,@chathambarsinn,https://www.instagram.com/chathambarsinn,
52,Chatham Inn,United States,Americas,https://www.chathaminn.com/,@chatham.inn,https://www.instagram.com/chatham.inn,
53,The Chedi Andermatt,Switzerland,Europe,https://www.thechediandermatt.com/,@thechediandermatt,https://www.instagram.com/thechediandermatt,
54,Cheval Blanc Paris,France,Europe,https://www.chevalblanc.com/en/maison/paris/,@chevalblancparis,https://www.instagram.com/chevalblancparis,
55,Cheval Blanc Randheli,Maldives,Asia-Pacific,https://www.chevalblanc.com/en/maison/randheli/,@chevalblancrandheli,https://www.instagram.com/chevalblancrandheli,
56,Cheval Blanc St-Barth,St Barts,Americas,https://www.chevalblanc.com/en/maison/st-barth/,@chevalblancstbarth,https://www.instagram.com/chevalblancstbarth,
57,"Chileno Bay Resort & Residences, Auberge Collection",Mexico,Americas,https://auberge.com/chileno-bay/,@chilenobayauberge,https://www.instagram.com/chilenobayauberge,
58,"Cipriani, A Belmond Hotel, Venice",Italy,Europe,https://www.belmond.com/hotels/europe/italy/venice/belmond-hotel-cipriani/,@belmondhotelcipriani,https://www.instagram.com/belmondhotelcipriani,
59,Claridge's,United Kingdom,Europe,https://www.maybourne.com/en/hotels/claridges,@claridgeshotel,https://www.instagram.com/claridgeshotel,
60,The Cloister at Sea Island,United States,Americas,https://www.seaisland.com/stay/the-cloister/,@seaisland,https://www.instagram.com/seaisland,Sea Island resort account (covers The Cloister and The Lodge); no separate property account.
61,The Connaught,United Kingdom,Europe,https://www.maybourne.com/en/hotels/the-connaught,@theconnaught,https://www.instagram.com/theconnaught,
62,Conrad Abu Dhabi Etihad Towers,United Arab Emirates,Middle East,,@conradetihadtowers,https://www.instagram.com/conradetihadtowers,Instagram confirmed. Website: Conrad/Hilton property page on hilton.com to confirm exact URL.
63,Crockfords at Resorts World Genting,Malaysia,Asia-Pacific,https://www.rwgenting.com/en/hotels/crockfords.html,@resortsworldgenting,https://www.instagram.com/resortsworldgenting,Resort-level account; no Crockfords-specific IG found.
64,Çırağan Palace Kempinski Istanbul,Turkey,Europe,https://www.kempinski.com/en/ciragan-palace,@cpkempinski,https://www.instagram.com/cpkempinski,region assigned by judgement (transcontinental country)
65,Delaire Graff Lodge,South Africa,Africa,https://www.delaire.co.za/,@delairegraff,https://www.instagram.com/delairegraff,
66,The Dolder Grand,Switzerland,Europe,https://www.thedoldergrand.com/en/,@thedoldergrand,https://www.instagram.com/thedoldergrand,
67,Dolphin Island,Fiji,Asia-Pacific,https://www.dolphinislandfiji.com/,@dolphinislandfiji,https://www.instagram.com/dolphinislandfiji,
68,"Dorado Beach, a Ritz-Carlton Reserve",Puerto Rico,Americas,https://www.ritzcarlton.com/en/hotels/sjudo-dorado-beach-a-ritz-carlton-reserve/overview/,@doradobeachreserve,https://www.instagram.com/doradobeachreserve,
69,The Dorchester,United Kingdom,Europe,https://www.dorchestercollection.com/london/the-dorchester,@thedorchester,https://www.instagram.com/thedorchester,Instagram taken from the official site footer.
70,Eden Rock - St Barths,St Barts,Americas,https://www.oetkerhotels.com/hotels/eden-rock-st-barths/,@er_stbarths,https://www.instagram.com/er_stbarths,Property page on parent Oetker Collection site. Instagram published in footer.
71,The Egerton House Hotel,United Kingdom,Europe,https://egertonhousehotel.com/,@egerton_house,https://www.instagram.com/egerton_house,Red Carnation property. Instagram published in footer.
72,Emerald Tower at MGM COTAI,China,Asia-Pacific,https://www.mgm.mo/en/stay/mgm-cotai/emerald-tower,,,"Emerald Tower is the luxury tower within MGM Cotai; no property-specific Instagram, only resort account @mgm.mo. Left blank per property rule."
73,"Emirates Palace Mandarin Oriental, Abu Dhabi",United Arab Emirates,Middle East,https://www.mandarinoriental.com/en/abu-dhabi/emirates-palace,@mo_emiratespalace,https://www.instagram.com/mo_emiratespalace,Instagram published in MO property-page footer.
74,Encore Boston Harbor,United States,Americas,https://www.encorebostonharbor.com/,@encorebostonharbor,https://www.instagram.com/encorebostonharbor,Instagram published in footer.
75,Encore Macau,China,Asia-Pacific,https://www.wynnresortsmacau.com/en/wynn-macau/,,,Encore is the second tower of Wynn Macau; no Encore-specific Instagram. Shared resort account @wynn.macau. Left blank.
76,Encore Tower Suites,United States,Americas,https://www.wynnlasvegas.com/rooms-and-suites/encore-tower-suites,,,Encore Tower Suites is a suite product within Wynn/Encore Las Vegas; no property-specific Instagram. Left blank.
77,Epic Tower at Studio City Macau,China,Asia-Pacific,https://www.studiocity-macau.com/en/hotels/epic-tower,,,"Epic Tower is a tower within Studio City Macau; no tower-specific Instagram, only @studiocitymacau. Left blank."
78,ESPACIO The Jewel of Waikiki,United States,Americas,https://www.espaciowaikiki.com/,@espaciowaikiki,https://www.instagram.com/espaciowaikiki,Instagram published in footer.
79,"Esperanza, Auberge Collection",Mexico,Americas,https://auberge.com/esperanza,@esperanzaauberge,https://www.instagram.com/esperanzaauberge,Property page on Auberge Collection site; IG published on page.
80,Faena Hotel Miami Beach,United States,Americas,https://www.faena.com/miami-beach,@faenamiamibeach,https://www.instagram.com/faenamiamibeach,Property-specific account used over global @faena.
81,Fairmont Pacific Rim,Canada,Americas,https://www.fairmontpacificrim.com/,@fairmontpacific,https://www.instagram.com/fairmontpacific,Instagram published in footer.
82,Falling Rock at Nemacolin,United States,Americas,https://www.nemacolin.com/properties/falling-rock/,,,"Falling Rock is a hotel within Nemacolin; no property-specific Instagram, only @nemacolin. Left blank."
83,Four Seasons Astir Palace Hotel Athens,Greece,Europe,https://www.fourseasons.com/athens/,@fsathens,https://www.instagram.com/fsathens,
84,Four Seasons Hotel Abu Dhabi at Al Maryah Island,United Arab Emirates,Middle East,https://www.fourseasons.com/abudhabi/,@fsabudhabi,https://www.instagram.com/fsabudhabi,
85,Four Seasons Hotel at The Surf Club,United States,Americas,https://www.fourseasons.com/surfside/,@fssurfside,https://www.instagram.com/fssurfside,
86,Four Seasons Hotel Baku,Azerbaijan,Europe,https://www.fourseasons.com/baku/,@fsbaku,https://www.instagram.com/fsbaku,
87,Four Seasons Hotel Boston,United States,Americas,https://www.fourseasons.com/boston/,@fsboston,https://www.instagram.com/fsboston,Distinct from @fsbostondalton (One Dalton).
88,Four Seasons Hotel des Bergues Geneva,Switzerland,Europe,https://www.fourseasons.com/geneva/,@fsgeneva,https://www.instagram.com/fsgeneva,
89,Four Seasons Hotel Doha,Qatar,Middle East,https://www.fourseasons.com/doha/,@fsdoha,https://www.instagram.com/fsdoha,
90,Four Seasons Hotel Dubai International Financial Centre,United Arab Emirates,Middle East,https://www.fourseasons.com/dubaidifc/,@fsdubaidifc,https://www.instagram.com/fsdubaidifc,
91,Four Seasons Hotel Firenze,Italy,Europe,https://www.fourseasons.com/florence/,@fsflorence,https://www.instagram.com/fsflorence,
92,"Four Seasons Hotel George V, Paris",France,Europe,https://www.fourseasons.com/paris/,@fsgeorgevparis,https://www.instagram.com/fsgeorgevparis,
93,Four Seasons Hotel Gresham Palace Budapest,Hungary,Europe,https://www.fourseasons.com/budapest/,@fsbudapest,https://www.instagram.com/fsbudapest,
94,Four Seasons Hotel Hong Kong,China,Asia-Pacific,https://www.fourseasons.com/hongkong/,@fshongkong,https://www.instagram.com/fshongkong,
95,Four Seasons Hotel Istanbul at Sultanahmet,Turkey,Europe,https://www.fourseasons.com/istanbul/,@fssultanahmet,https://www.instagram.com/fssultanahmet,
96,Four Seasons Hotel Istanbul at the Bosphorus,Turkey,Europe,https://www.fourseasons.com/bosphorus/,@fsbosphorus,https://www.instagram.com/fsbosphorus,
97,Four Seasons Hotel Kuwait at Burj Alshaya,Kuwait,Middle East,https://www.fourseasons.com/kuwait/,@fskuwait,https://www.instagram.com/fskuwait,
98,Four Seasons Hotel London at Park Lane,United Kingdom,Europe,https://www.fourseasons.com/london/,@fslondon,https://www.instagram.com/fslondon,
99,Four Seasons Hotel London at Tower Bridge,United Kingdom,Europe,https://www.fourseasons.com/towerbridge/,@fstowerbridge,https://www.instagram.com/fstowerbridge,
100,Four Seasons Hotel Macao,China,Asia-Pacific,https://www.fourseasons.com/macau/,@fsmacau,https://www.instagram.com/fsmacau,
101,Four Seasons Hotel Madrid,Spain,Europe,https://www.fourseasons.com/madrid/,@fsmadrid,https://www.instagram.com/fsmadrid,
102,Four Seasons Hotel New York Downtown,United States,Americas,https://www.fourseasons.com/newyorkdowntown/,@fsnydowntown,https://www.instagram.com/fsnydowntown,Distinct from @fsnewyork (Midtown).
103,"Four Seasons Hotel One Dalton Street, Boston",United States,Americas,https://www.fourseasons.com/onedalton/,@fsbostondalton,https://www.instagram.com/fsbostondalton,
104,Four Seasons Hotel Prague,Czech Republic,Europe,https://www.fourseasons.com/prague/,@fsprague,https://www.instagram.com/fsprague,
105,Four Seasons Hotel Ritz Lisbon,Portugal,Europe,https://www.fourseasons.com/lisbon/,@fslisbon,https://www.instagram.com/fslisbon,
106,Four Seasons Hotel Riyadh at Kingdom Centre,Saudi Arabia,Middle East,https://www.fourseasons.com/riyadh/,@fsriyadh,https://www.instagram.com/fsriyadh,
107,Four Seasons Hotel Seoul,South Korea,Asia-Pacific,https://www.fourseasons.com/seoul/,@fsseoul,https://www.instagram.com/fsseoul,
108,Four Seasons Hotel Toronto,Canada,Americas,https://www.fourseasons.com/toronto/,@fstoronto,https://www.instagram.com/fstoronto,
109,"Four Seasons Hotel Washington, D.C.",United States,Americas,https://www.fourseasons.com/washington/,@fswashington,https://www.instagram.com/fswashington,
110,Four Seasons Resort and Residences Anguilla,Anguilla,Americas,https://www.fourseasons.com/anguilla/,@fsanguilla,https://www.instagram.com/fsanguilla,
111,Four Seasons Resort and Residences Napa Valley,United States,Americas,https://www.fourseasons.com/napavalley/,@fsnapavalley,https://www.instagram.com/fsnapavalley,
112,Four Seasons Resort Bali at Jimbaran Bay,Indonesia,Asia-Pacific,https://www.fourseasons.com/jimbaranbay/,@fsbali,https://www.instagram.com/fsbali,@fsbali is the shared Four Seasons Resorts Bali account (Jimbaran Bay + Sayan).
113,Four Seasons Resort Bali at Sayan,Indonesia,Asia-Pacific,https://www.fourseasons.com/sayan/,@fsbali,https://www.instagram.com/fsbali,@fsbali is the shared Four Seasons Resorts Bali account (Sayan + Jimbaran Bay).
114,Four Seasons Resort Dubai at Jumeirah Beach,United Arab Emirates,Middle East,https://www.fourseasons.com/dubaijb/,@fsdubai,https://www.instagram.com/fsdubai,
115,Four Seasons Resort Hualalai,United States,Americas,https://www.fourseasons.com/hualalai/,@fshualalai,https://www.instagram.com/fshualalai,
116,Four Seasons Resort Lanai,United States,Americas,https://www.fourseasons.com/lanai/,@fslanai,https://www.instagram.com/fslanai,Covers Four Seasons Resort Lanai and sister Sensei Lanai.
117,Four Seasons Resort Maldives at Kuda Huraa,Maldives,Asia-Pacific,https://www.fourseasons.com/maldiveskh/,@fsmaldives,https://www.instagram.com/fsmaldives,Shared Four Seasons Resorts Maldives account; no Kuda Huraa-specific account.
118,Four Seasons Resort Maui at Wailea,United States,Americas,https://www.fourseasons.com/maui/,@fsmaui,https://www.instagram.com/fsmaui,
119,Four Seasons Resort Palm Beach,United States,Americas,https://www.fourseasons.com/palmbeach/,@fspalmbeach,https://www.instagram.com/fspalmbeach,
120,"Four Seasons Resort Peninsula Papagayo, Costa Rica",Costa Rica,Americas,https://www.fourseasons.com/costarica/,@fscostarica,https://www.instagram.com/fscostarica,
121,"Four Seasons Resort Punta Mita, Mexico",Mexico,Americas,https://www.fourseasons.com/puntamita/,@fspuntamita,https://www.instagram.com/fspuntamita,
122,"Four Seasons Resort The Nam Hai, Hoi An",Vietnam,Asia-Pacific,https://www.fourseasons.com/hoian/,@fsnamhai,https://www.instagram.com/fsnamhai,
123,Galaxy Hotel Macau,China,Asia-Pacific,https://www.galaxymacau.com/hotels/galaxy-hotel/,@galaxymacau,https://www.instagram.com/galaxymacau,Integrated-resort account; no Galaxy Hotel-specific account.
124,Gardena Grödnerhof,Italy,Europe,https://www.gardena.it/en/,@gardenagroednerhof,https://www.instagram.com/gardenagroednerhof,
125,The Goring,United Kingdom,Europe,https://www.thegoring.com/,@thegoring,https://www.instagram.com/thegoring,
126,Grand Lisboa Hotel,China,Asia-Pacific,https://www.grandlisboahotel.com/,,,"Two plausible accounts (@grandlisboamacau, @grandlisboahotel); official site publishes no Instagram link. Left blank for review."
127,Grand Lisboa Palace Macau,China,Asia-Pacific,https://www.grandlisboapalace.com/en/hotels/grand-lisboa-palace-macau,@grandlisboapalace,https://www.instagram.com/grandlisboapalace,
128,The Grand Suites at Four Seasons,China,Asia-Pacific,https://www.fourseasons.com/grandsuitesmacau/,@grandsuitesmacau,https://www.instagram.com/grandsuitesmacau,
129,Grand Velas Los Cabos,Mexico,Americas,https://loscabos.grandvelas.com/,@grandvelascabos,https://www.instagram.com/grandvelascabos,
130,"Grand-Hôtel du Cap-Ferrat, A Four Seasons Hotel",France,Europe,https://www.fourseasons.com/capferrat/,@fscapferrat,https://www.instagram.com/fscapferrat,
131,"Grosvenor House, a Luxury Collection Hotel, Dubai",United Arab Emirates,Middle East,https://www.marriott.com/en-us/hotels/dxbgl-grosvenor-house-a-luxury-collection-hotel-dubai/overview/,@grosvenorhouse,https://www.instagram.com/grosvenorhouse,Official page on Marriott (Luxury Collection).
132,Halekulani Okinawa,Japan,Asia-Pacific,https://www.okinawa.halekulani.com/en/,@halekulani_okinawa,https://www.instagram.com/halekulani_okinawa,
133,Hassler Roma,Italy,Europe,https://www.hotelhasslerroma.com/,@hotelhasslerroma,https://www.instagram.com/hotelhasslerroma,
134,The Hazelton Hotel,Canada,Americas,https://www.thehazeltonhotel.com/,@hazeltonto,https://www.instagram.com/hazeltonto,
135,Hotel 41,United Kingdom,Europe,https://41hotel.com/,@41hotel,https://www.instagram.com/41hotel,
136,"Hotel das Cataratas, A Belmond Hotel, Iguassu Falls",Brazil,Americas,https://www.belmond.com/hotels/south-america/brazil/iguassu-falls/belmond-hotel-das-cataratas/,@belmondhoteldascataratas,https://www.instagram.com/belmondhoteldascataratas,
137,"Hôtel de Crillon, A Rosewood Hotel",France,Europe,https://www.rosewoodhotels.com/en/hotel-de-crillon,@rosewoodhoteldecrillon,https://www.instagram.com/rosewoodhoteldecrillon,
138,"Hotel de la Ville, a Rocco Forte Hotel",Italy,Europe,https://www.roccofortehotels.com/hotels-and-resorts/hotel-de-la-ville/,@hoteldelavillerome,https://www.instagram.com/hoteldelavillerome,
139,Hôtel de Paris Monte-Carlo,Monaco,Europe,https://www.montecarlosbm.com/en/hotel-monaco/hotel-paris-monte-carlo,@hoteldeparismc,https://www.instagram.com/hoteldeparismc,Page within Monte-Carlo SBM (parent) site.
140,"Hotel de Russie, a Rocco Forte Hotel",Italy,Europe,https://www.roccofortehotels.com/hotels-and-resorts/hotel-de-russie/,@hotelderussie,https://www.instagram.com/hotelderussie,
141,Hotel du Cap-Eden-Roc,France,Europe,https://www.oetkerhotels.com/hotels/hotel-du-cap-eden-roc/,@hotelducapedenroc,https://www.instagram.com/hotelducapedenroc,
142,Hotel Eden,Italy,Europe,https://www.dorchestercollection.com/rome/hotel-eden,@hoteledenrome,https://www.instagram.com/hoteledenrome,
143,Hotel Esencia,Mexico,Americas,https://hotelesencia.com/,@hotelesencia,https://www.instagram.com/hotelesencia,
144,Hotel Il Pellicano,Italy,Europe,https://www.pellicanohotels.com/en/hotels/hotel-il-pellicano/,@hotelilpellicano,https://www.instagram.com/hotelilpellicano,Page within Pellicano Hotels group site.
145,Hotel New Otani Tokyo Executive House Zen,Japan,Asia-Pacific,https://www.newotani.co.jp/en/tokyo/stay/exe/,@executivehousezen,https://www.instagram.com/executivehousezen,"Executive House Zen, the Forbes Five-Star floors within Hotel New Otani Tokyo."
146,Hotel Okura Macau,China,Asia-Pacific,https://www.okura-nikko.com/china/macau/hotel-okura-macau/,@hotelokuramacau,https://www.instagram.com/hotelokuramacau,Official page on Okura Nikko brand site.
147,Hotel Plaza Athénée Paris,France,Europe,https://www.dorchestercollection.com/paris/hotel-plaza-athenee,@plaza_athenee,https://www.instagram.com/plaza_athenee,
148,"Hotel Savoy, a Rocco Forte Hotel",Italy,Europe,https://www.roccofortehotels.com/hotels-and-resorts/hotel-savoy/,@hotelsavoyflorence,https://www.instagram.com/hotelsavoyflorence,
149,"HOTEL THE MITSUI KYOTO, A Luxury Collection Hotel & Spa",Japan,Asia-Pacific,https://www.hotelthemitsui.com/en/kyoto/,@hotel_the_mitsui_kyoto,https://www.instagram.com/hotel_the_mitsui_kyoto,IG from official site footer.
150,Hurawalhi Island Resort,Maldives,Asia-Pacific,https://www.hurawalhi.com/,@hurawalhi,https://www.instagram.com/hurawalhi,"Handle confirmed via search (248K, references 5.8 Undersea Restaurant)."
151,Iniala Valletta,Malta,Europe,https://www.iniala.com/iniala-valletta,@inialavalletta,https://www.instagram.com/inialavalletta,IG from official site footer.
152,The Inn at Little Washington,United States,Americas,https://www.theinnatlittlewashington.com/,@innatlittlewash,https://www.instagram.com/innatlittlewash,IG from official site footer.
153,J.K. Place Capri,Italy,Europe,https://www.jkplaces.com/jkcapri/,@jkplacecapri,https://www.instagram.com/jkplacecapri,IG from official site footer.
154,J.K. Place Roma,Italy,Europe,https://www.jkplaces.com/jkroma/,@jkplaceroma,https://www.instagram.com/jkplaceroma,IG from official site footer.
155,JOALI BEING,Maldives,Asia-Pacific,https://www.joali.com/joali-being/,@joalibeing,https://www.instagram.com/joalibeing,
156,JOALI Maldives,Maldives,Asia-Pacific,https://www.joali.com/joali-maldives/,@joalimaldives,https://www.instagram.com/joalimaldives,
157,Jumeirah Al Naseem,United Arab Emirates,Middle East,https://www.jumeirah.com/en/stay/dubai/jumeirah-al-naseem,@jumeirahalnaseem,https://www.instagram.com/jumeirahalnaseem,Property page on parent jumeirah.com.
158,Jumeirah Burj Al Arab,United Arab Emirates,Middle East,https://www.jumeirah.com/en/stay/dubai/jumeirah-burj-al-arab,@jumeirahburjalarab,https://www.instagram.com/jumeirahburjalarab,Bio notes phased restoration as of 2026.
159,THE KARL LAGERFELD,China,Asia-Pacific,https://www.thekarllagerfeld.mo/en,@thekarllagerfeld,https://www.instagram.com/thekarllagerfeld,IG from official site footer.
160,Kimpton Seafire Resort + Spa,Cayman Islands,Americas,https://www.seafireresortandspa.com/,@seafireresort,https://www.instagram.com/seafireresort,IG from official site footer.
161,Kudadoo Maldives Private Island,Maldives,Asia-Pacific,https://www.kudadoo.com/,@kudadoomaldives,https://www.instagram.com/kudadoomaldives,Handle confirmed via search (property-specific).
162,"The Langham, Chicago",United States,Americas,https://www.langhamhotels.com/en/the-langham/chicago/,@langhamchicago,https://www.instagram.com/langhamchicago,Property page on parent site.
163,"Las Ventanas al Paraíso, A Rosewood Resort",Mexico,Americas,https://www.rosewoodhotels.com/en/las-ventanas-los-cabos,@lasventanasalparaiso,https://www.instagram.com/lasventanasalparaiso,IG from Rosewood property-page footer.
164,La Casa de la Playa,Mexico,Americas,https://www.lacasadelaplaya.com/en/,@lacasadelaplaya,https://www.instagram.com/lacasadelaplaya,Grupo Xcaret boutique hotel.
165,Le Bristol Paris,France,Europe,https://www.oetkerhotels.com/hotels/le-bristol-paris/,@lebristolparis,https://www.instagram.com/lebristolparis,IG from Oetker property-page footer.
166,"Le Meurice, Dorchester Collection",France,Europe,https://www.dorchestercollection.com/paris/le-meurice,@lemeuriceparis,https://www.instagram.com/lemeuriceparis,IG from Dorchester property-page footer.
167,Le Sirenuse,Italy,Europe,https://sirenuse.it/en/,@lesirenuse,https://www.instagram.com/lesirenuse,IG from official site footer.
