id,hotel_name,country,region,website,instagram_handle,instagram_url,source,gold_list_listings,notes
25,Beaverbrook,United Kingdom,Europe,https://beaverbrook.co.uk,@beaverbrook,https://www.instagram.com/beaverbrook,Gold List,"US 2026, UK 2026",
26,Blackberry Farm,United States,Americas,https://www.dorchestercollection.com/los-angeles/the-beverly-hills-hotel,@bevhillshotel,https://www.instagram.com/bevhillshotel,Gold List,"US 2025, UK 2025",
27,BLESS Hotel Madrid,Spain,Europe,https://www.blesscollectionhotels.com/en/bless-hotel-madrid/,@blesshotelmadrid,https://www.instagram.com/blesshotelmadrid,Forbes,,
28,BLESS Ibiza Cala Nova,Spain,Europe,https://www.blesscollectionhotels.com/en/bless-hotel-ibiza/,@blessibizacalanova,https://www.instagram.com/blessibizacalanova,Forbes,,Site footer publishes @blessibizacalanova (resolves earlier ambiguity).
29,Borgo Santo Pietro,Italy,Europe,https://borgosantopietro.com/,@borgosantopietro,https://www.instagram.com/borgosantopietro,Manual add,,From official site footer.
30,Boston Harbor Hotel,United States,Americas,https://www.bostonharborhotel.com/,@bostonharborhotel,https://www.instagram.com/bostonharborhotel,Forbes,,
31,"Brown's Hotel, a Rocco Forte Hotel",United Kingdom,Europe,https://www.roccofortehotels.com/hotels-and-resorts/brown-s-hotel/,@browns_hotel,https://www.instagram.com/browns_hotel,Forbes,,
32,"Buahan, A Banyan Tree Escape",Indonesia,Asia-Pacific,https://www.blackberryfarm.com,@blackberryfarm,https://www.instagram.com/blackberryfarm,Gold List,"US 2026, UK 2026",
33,Bullo River Station,Australia,Asia-Pacific,https://thebrando.com,@thebrandoresort,https://www.instagram.com/thebrandoresort,Gold List,UK 2025,
34,Bvlgari Hotel Beijing,China,Asia-Pacific,https://www.bulgarihotels.com/en_US/beijing,,,Forbes,,Only group @bvlgarihotels published; no property-specific account. Left blank.
35,Bvlgari Hotel London,United Kingdom,Europe,https://www.bulgarihotels.com/en_US/london,@bvlgarihotellondon,https://www.instagram.com/bvlgarihotellondon,Forbes,,
36,Bvlgari Hotel Roma,Italy,Europe,https://www.bulgarihotels.com/en_US/rome,@bvlgarihotelroma,https://www.instagram.com/bvlgarihotelroma,World's 50 Best,,Property account preferred over brand @bvlgarihotels.
37,Bvlgari Hotel Shanghai,China,Asia-Pacific,https://www.bulgarihotels.com/en_US/shanghai,,,Forbes,,Only group @bvlgarihotels published; no property-specific account. Left blank.
38,Bvlgari Hotel Tokyo,Japan,Asia-Pacific,https://www.bulgarihotels.com/en_US/tokyo,@bvlgarihoteltokyo,https://www.instagram.com/bvlgarihoteltokyo,"Forbes, World's 50 Best",,
39,Bvlgari Resort and Residences Dubai,United Arab Emirates,Middle East,https://www.bulgarihotels.com/en_US/dubai,@bvlgariresortdubai,https://www.instagram.com/bvlgariresortdubai,"Forbes, Gold List","US 2026, UK 2026",
40,Bvlgari Resort Bali,Indonesia,Asia-Pacific,https://www.bulgarihotels.com/en_US/bali,@bvlgariresortbali,https://www.instagram.com/bvlgariresortbali,"Forbes, Gold List",US 2025,
41,"Caiman, Pantanal",Brazil,Americas,https://www.bulgarihotels.com/en_US/bali,@bvlgariresortbali,https://www.instagram.com/bvlgariresortbali,Gold List,"US 2025, UK 2025",
42,Canaves Ena,Greece,Europe,https://www.bulgarihotels.com/en_US/dubai,@bvlgariresortdubai,https://www.instagram.com/bvlgariresortdubai,Gold List,"US 2025, UK 2025",
43,"Cap Juluca, A Belmond Hotel, Anguilla",Anguilla,Americas,https://www.belmond.com/hotels/north-america/caribbean/anguilla/belmond-cap-juluca/,@belmondcapjuluca,https://www.instagram.com/belmondcapjuluca,Forbes,,
44,Cap Rocat,Spain,Europe,https://www.caiman.com.br/en/,@caimanpantanal,https://www.instagram.com/caimanpantanal,Gold List,"US 2025, UK 2025",
45,Cape Weligama,Sri Lanka,Asia-Pacific,https://canaves.com/canaves-oia-hotel-ena/,@canavesena,https://www.instagram.com/canavesena,Gold List,"US 2026, UK 2026",
46,Capella at Galaxy Macau,China,Asia-Pacific,https://capellahotels.com/en/capella-galaxy-macau,@capellamacau,https://www.instagram.com/capellamacau,Forbes,,
47,Capella Bangkok,Thailand,Asia-Pacific,https://capellahotels.com/en/capella-bangkok,@capellabangkok,https://www.instagram.com/capellabangkok,"Forbes, Gold List, World's 50 Best",US 2025,
48,Capella Hanoi,Vietnam,Asia-Pacific,https://capellahotels.com/en/capella-hanoi,@capellahanoi,https://www.instagram.com/capellahanoi,Forbes,,
49,"Capella Shanghai, Jian Ye Li",China,Asia-Pacific,https://capellahotels.com/en/capella-shanghai,@capellashanghai,https://www.instagram.com/capellashanghai,Forbes,,
50,Capella Singapore,Singapore,Asia-Pacific,https://www.capella-singapore.com/,@capellasingapore,https://www.instagram.com/capellasingapore,"Forbes, Gold List","US 2026, UK 2026",
51,Capella Sydney,Australia,Asia-Pacific,https://capellahotels.com/en/capella-sydney,@capellasydney,https://www.instagram.com/capellasydney,World's 50 Best,,Property account confirmed via search.
52,"Carlton Cannes, a Regent Hotel",France,Europe,https://carltoncannes.com/en/,@carltoncannes,https://www.instagram.com/carltoncannes,Forbes,,
53,Carlton Hotel St. Moritz,Switzerland,Europe,https://tschuggencollection.ch/en/hotel/carlton-hotel,@carltonstmoritz,https://www.instagram.com/carltonstmoritz,Forbes,,
54,"Caruso, A Belmond Hotel, Amalfi Coast",Italy,Europe,https://www.belmond.com/hotels/europe/italy/amalfi-coast/belmond-hotel-caruso/,@belmondhotelcaruso,https://www.instagram.com/belmondhotelcaruso,Forbes,,
55,Casa Angelina,Italy,Europe,https://www.casangelina.com/,@casaangelinalifestyle,https://www.instagram.com/casaangelinalifestyle,Forbes,,
56,Castelfalfi,Italy,Europe,https://www.castelfalfi.com/,@castelfalfi,https://www.instagram.com/castelfalfi,"Forbes, Gold List","US 2026, UK 2026",
57,"Castiglion del Bosco, A Rosewood Hotel",Italy,Europe,https://www.rosewoodhotels.com/en/castiglion-del-bosco,@rosewoodcastigliondelbosco,https://www.instagram.com/rosewoodcastigliondelbosco,Forbes,,
58,Cempedak Island,Indonesia,Asia-Pacific,https://www.cempedak.com,@cempedakisland,https://www.instagram.com/cempedakisland,Gold List,"US 2026, UK 2026",From official site footer.
59,Chablé Yucatán,Mexico,Americas,https://yucatan.chablehotels.com/,@chableyucatan,https://www.instagram.com/chableyucatan,"Gold List, World's 50 Best","US 2025, UK 2025",From official site footer.
60,Chatham Bars Inn,United States,Americas,https://www.chathambarsinn.com/,@chathambarsinn,https://www.instagram.com/chathambarsinn,Forbes,,
61,Chatham Inn,United States,Americas,https://www.chathaminn.com/,@chatham.inn,https://www.instagram.com/chatham.inn,Forbes,,
62,Cheval Blanc Paris,France,Europe,https://www.chevalblanc.com/en/maison/paris/,@chevalblancparis,https://www.instagram.com/chevalblancparis,"Forbes, World's 50 Best",,
63,Cheval Blanc Randheli,Maldives,Asia-Pacific,https://www.chevalblanc.com/en/maison/randheli/,@chevalblancrandheli,https://www.instagram.com/chevalblancrandheli,Forbes,,
64,Cheval Blanc St-Barth,St Barts,Americas,https://www.chevalblanc.com/en/maison/st-barth/,@chevalblancstbarth,https://www.instagram.com/chevalblancstbarth,Forbes,,
65,"Chileno Bay Resort & Residences, Auberge Collection",Mexico,Americas,https://auberge.com/chileno-bay/,@chilenobayauberge,https://www.instagram.com/chilenobayauberge,Forbes,,
66,Chiva-Som,Thailand,Asia-Pacific,https://www.chivasom.com/en/chiva-som-hua-hin/,@chivasomhuahin,https://www.instagram.com/chivasomhuahin,Gold List,"US 2026, UK 2026",From official site footer.
67,"Cipriani, A Belmond Hotel, Venice",Italy,Europe,https://www.belmond.com/hotels/europe/italy/venice/belmond-hotel-cipriani/,@belmondhotelcipriani,https://www.instagram.com/belmondhotelcipriani,Forbes,,
68,Claridge's,United Kingdom,Europe,https://www.maybourne.com/en/hotels/claridges,@claridgeshotel,https://www.instagram.com/claridgeshotel,"Forbes, Gold List, World's 50 Best","US 2026, UK 2026",
69,Conrad Abu Dhabi Etihad Towers,United Arab Emirates,Middle East,https://www.hilton.com/en/hotels/auhetci-conrad-abu-dhabi-etihad-towers/,@conradetihadtowers,https://www.instagram.com/conradetihadtowers,Forbes,,Official Hilton property page confirmed.
70,"Copacabana Palace, A Belmond Hotel",Brazil,Americas,https://www.belmond.com/hotels/south-america/brazil/rio-de-janeiro/belmond-copacabana-palace/,@belmondcopacabanapalace,https://www.instagram.com/belmondcopacabanapalace,World's 50 Best,,From property footer.
71,Coral Sands Inn & Cottages,Bahamas,Americas,https://www.coralsands.com/,@coralsands_harbourisland,https://www.instagram.com/coralsands_harbourisland,Gold List,"US 2026, UK 2026",From official site footer.
72,"Coworth Park, Dorchester Collection",United Kingdom,Europe,https://www.dorchestercollection.com/ascot/coworth-park,@coworthpark,https://www.instagram.com/coworthpark,Gold List,"US 2026, UK 2026",From official site footer.
73,Crockfords at Resorts World Genting,Malaysia,Asia-Pacific,https://www.rwgenting.com/en/hotels/crockfords.html,@resortsworldgenting,https://www.instagram.com/resortsworldgenting,Forbes,,Resort-level account; no Crockfords-specific IG found.
74,Delaire Graff Lodge,South Africa,Africa,https://www.delaire.co.za/,@delairegraff,https://www.instagram.com/delairegraff,Forbes,,
75,Desa Potato Head,Indonesia,Asia-Pacific,https://seminyak.potatohead.co/,@potatoheadbali,https://www.instagram.com/potatoheadbali,World's 50 Best,,From official site footer.
76,Dolphin Island,Fiji,Asia-Pacific,https://www.dolphinislandfiji.com/,@dolphinislandfiji,https://www.instagram.com/dolphinislandfiji,Forbes,,
77,"Dorado Beach, a Ritz-Carlton Reserve",Puerto Rico,Americas,https://www.ritzcarlton.com/en/hotels/sjudo-dorado-beach-a-ritz-carlton-reserve/overview/,@doradobeachreserve,https://www.instagram.com/doradobeachreserve,Forbes,,
78,Eden Rock - St Barths,St Barts,Americas,https://www.oetkerhotels.com/hotels/eden-rock-st-barths/,@er_stbarths,https://www.instagram.com/er_stbarths,Forbes,,Property page on parent Oetker Collection site. Instagram published in footer.
79,El Questro Homestead,Australia,Asia-Pacific,https://elquestro.com.au/stay/the-homestead,@elquestro,https://www.instagram.com/elquestro,Gold List,US 2026,El Questro brand account covers all three resorts; no Homestead-only account.
80,Ellerman House,South Africa,Africa,https://www.ellerman.co.za/,@ellermanhousehotel,https://www.instagram.com/ellermanhousehotel,Gold List,"US 2025, UK 2025",From official site footer.
81,Emerald Tower at MGM COTAI,China,Asia-Pacific,https://www.mgm.mo/en/stay/mgm-cotai/emerald-tower,,,Forbes,,Emerald Tower is a tower within MGM Cotai; no tower-specific IG. Left blank.
82,"Emirates Palace Mandarin Oriental, Abu Dhabi",United Arab Emirates,Middle East,https://www.mandarinoriental.com/en/abu-dhabi/emirates-palace,@mo_emiratespalace,https://www.instagram.com/mo_emiratespalace,Forbes,,Instagram published in MO property-page footer.
83,Encore Boston Harbor,United States,Americas,https://www.encorebostonharbor.com/,@encorebostonharbor,https://www.instagram.com/encorebostonharbor,Forbes,,Instagram published in footer.
84,Encore Macau,China,Asia-Pacific,https://www.wynnresortsmacau.com/en/wynn-macau/,,,Forbes,,Encore is the second tower of Wynn Macau; only shared @wynn.macau. Left blank.
85,Encore Tower Suites,United States,Americas,https://www.wynnlasvegas.com/rooms-and-suites/encore-tower-suites,,,Forbes,,Encore Tower Suites is a suite product within Wynn/Encore Las Vegas; no property-specific IG. Left blank.
86,Epic Tower at Studio City Macau,China,Asia-Pacific,https://www.studiocity-macau.com/en/hotels/epic-tower,,,Forbes,,Epic Tower is a tower within Studio City Macau; only @studiocitymacau. Left blank.
87,ESPACIO The Jewel of Waikiki,United States,Americas,https://www.espaciowaikiki.com/,@espaciowaikiki,https://www.instagram.com/espaciowaikiki,Forbes,,Instagram published in footer.
88,"Esperanza, Auberge Collection",Mexico,Americas,https://auberge.com/esperanza,@esperanzaauberge,https://www.instagram.com/esperanzaauberge,Forbes,,Property page on Auberge Collection site; IG published on page.
89,Estelle Manor,United Kingdom,Europe,https://estellemanor.com/,@estellemanor,https://www.instagram.com/estellemanor,World's 50 Best,,From official site footer.
90,Ett Hem,Sweden,Europe,https://www.etthem.se/,@etthemstockholm,https://www.instagram.com/etthemstockholm,Gold List,"US 2025, UK 2025",From official site footer.
91,Faena Hotel Miami Beach,United States,Americas,https://www.faena.com/miami-beach,@faenamiamibeach,https://www.instagram.com/faenamiamibeach,Forbes,,Property-specific account used over global @faena.
92,Fairmont Hotel Vier Jahreszeiten,Germany,Europe,https://hvj.de/en/,@fairmont_hotelvierjahreszeiten,https://www.instagram.com/fairmont_hotelvierjahreszeiten,Gold List,"US 2025, UK 2025",Property's own site (hvj.de); IG in footer.
93,Fairmont Pacific Rim,Canada,Americas,https://www.fairmontpacificrim.com/,@fairmontpacific,https://www.instagram.com/fairmontpacific,Forbes,,Instagram published in footer.
94,Falling Rock at Nemacolin,United States,Americas,https://www.nemacolin.com/properties/falling-rock/,,,Forbes,,Falling Rock is within Nemacolin; only @nemacolin. Left blank.
95,Fogo Island Inn,Canada,Americas,https://fogoislandinn.ca/,@fogoislandinn,https://www.instagram.com/fogoislandinn,Gold List,"US 2025, UK 2025",From official site footer.
96,Forestis,Italy,Europe,https://www.forestis.it/en,@forestis.dolomites,https://www.instagram.com/forestis.dolomites,Gold List,"US 2026, UK 2026",From official site footer.
97,Four Seasons Astir Palace Hotel Athens,Greece,Europe,https://www.fourseasons.com/athens/,@fsathens,https://www.instagram.com/fsathens,"Forbes, Gold List, World's 50 Best","US 2026, UK 2026",
98,Four Seasons Bangkok at Chao Phraya River,Thailand,Asia-Pacific,https://www.fourseasons.com/bangkok/,@fsbangkok,https://www.instagram.com/fsbangkok,World's 50 Best,,Property account preferred over global @fourseasons.
99,Four Seasons Hotel Abu Dhabi at Al Maryah Island,United Arab Emirates,Middle East,https://www.fourseasons.com/abudhabi/,@fsabudhabi,https://www.instagram.com/fsabudhabi,Forbes,,
100,Four Seasons Hotel at The Surf Club,United States,Americas,https://www.fourseasons.com/surfside/,@fssurfside,https://www.instagram.com/fssurfside,Forbes,,
101,Four Seasons Hotel Baku,Azerbaijan,Europe,https://www.fourseasons.com/baku/,@fsbaku,https://www.instagram.com/fsbaku,Forbes,,
102,Four Seasons Hotel Boston,United States,Americas,https://www.fourseasons.com/boston/,@fsboston,https://www.instagram.com/fsboston,Forbes,,Distinct from @fsbostondalton (One Dalton).
103,Four Seasons Hotel des Bergues Geneva,Switzerland,Europe,https://www.fourseasons.com/geneva/,@fsgeneva,https://www.instagram.com/fsgeneva,Forbes,,
104,Four Seasons Hotel Doha,Qatar,Middle East,https://www.fourseasons.com/doha/,@fsdoha,https://www.instagram.com/fsdoha,Forbes,,
105,Four Seasons Hotel Dubai International Financial Centre,United Arab Emirates,Middle East,https://www.fourseasons.com/dubaidifc/,@fsdubaidifc,https://www.instagram.com/fsdubaidifc,Forbes,,
106,Four Seasons Hotel Firenze,Italy,Europe,https://www.fourseasons.com/florence/,@fsflorence,https://www.instagram.com/fsflorence,"Forbes, Gold List, World's 50 Best","US 2025, UK 2025",
107,"Four Seasons Hotel George V, Paris",France,Europe,https://www.fourseasons.com/paris/,@fsgeorgevparis,https://www.instagram.com/fsgeorgevparis,Forbes,,
108,Four Seasons Hotel Gresham Palace Budapest,Hungary,Europe,https://www.fourseasons.com/budapest/,@fsbudapest,https://www.instagram.com/fsbudapest,Forbes,,
109,Four Seasons Hotel Hong Kong,China,Asia-Pacific,https://www.fourseasons.com/hongkong/,@fshongkong,https://www.instagram.com/fshongkong,Forbes,,
110,Four Seasons Hotel Istanbul at Sultanahmet,Turkey,Europe,https://www.fourseasons.com/istanbul/,@fssultanahmet,https://www.instagram.com/fssultanahmet,Forbes,,
111,Four Seasons Hotel Istanbul at the Bosphorus,Turkey,Europe,https://www.fourseasons.com/bosphorus/,@fsbosphorus,https://www.instagram.com/fsbosphorus,Forbes,,
112,Four Seasons Hotel Kuwait at Burj Alshaya,Kuwait,Middle East,https://www.fourseasons.com/kuwait/,@fskuwait,https://www.instagram.com/fskuwait,Forbes,,
113,Four Seasons Hotel London at Park Lane,United Kingdom,Europe,https://www.fourseasons.com/london/,@fslondon,https://www.instagram.com/fslondon,Forbes,,
114,Four Seasons Hotel London at Tower Bridge,United Kingdom,Europe,https://www.fourseasons.com/towerbridge/,@fstowerbridge,https://www.instagram.com/fstowerbridge,Forbes,,
115,Four Seasons Hotel Macao,China,Asia-Pacific,https://www.fourseasons.com/macau/,@fsmacau,https://www.instagram.com/fsmacau,Forbes,,
116,Four Seasons Hotel Madrid,Spain,Europe,https://www.fourseasons.com/madrid/,@fsmadrid,https://www.instagram.com/fsmadrid,Forbes,,
117,Four Seasons Hotel New York Downtown,United States,Americas,https://www.fourseasons.com/newyorkdowntown/,@fsnydowntown,https://www.instagram.com/fsnydowntown,Forbes,,Distinct from @fsnewyork (Midtown).
118,"Four Seasons Hotel One Dalton Street, Boston",United States,Americas,https://www.fourseasons.com/onedalton/,@fsbostondalton,https://www.instagram.com/fsbostondalton,Forbes,,
119,Four Seasons Hotel Prague,Czech Republic,Europe,https://www.fourseasons.com/prague/,@fsprague,https://www.instagram.com/fsprague,Forbes,,
120,Four Seasons Hotel Ritz Lisbon,Portugal,Europe,https://www.fourseasons.com/lisbon/,@fslisbon,https://www.instagram.com/fslisbon,Forbes,,
121,Four Seasons Hotel Riyadh at Kingdom Centre,Saudi Arabia,Middle East,https://www.fourseasons.com/riyadh/,@fsriyadh,https://www.instagram.com/fsriyadh,Forbes,,
122,Four Seasons Hotel Seoul,South Korea,Asia-Pacific,https://www.fourseasons.com/seoul/,@fsseoul,https://www.instagram.com/fsseoul,Forbes,,
123,Four Seasons Hotel Toronto,Canada,Americas,https://www.fourseasons.com/toronto/,@fstoronto,https://www.instagram.com/fstoronto,Forbes,,
124,"Four Seasons Hotel Washington, D.C.",United States,Americas,https://www.fourseasons.com/washington/,@fswashington,https://www.instagram.com/fswashington,Forbes,,
125,Four Seasons Resort and Residences Anguilla,Anguilla,Americas,https://www.fourseasons.com/anguilla/,@fsanguilla,https://www.instagram.com/fsanguilla,Forbes,,
126,Four Seasons Resort and Residences Napa Valley,United States,Americas,https://www.fourseasons.com/napavalley/,@fsnapavalley,https://www.instagram.com/fsnapavalley,Forbes,,
127,Four Seasons Resort Bali at Jimbaran Bay,Indonesia,Asia-Pacific,https://www.fourseasons.com/jimbaranbay/,@fsbali,https://www.instagram.com/fsbali,Forbes,,@fsbali is the shared Four Seasons Resorts Bali account (Jimbaran Bay + Sayan).
128,Four Seasons Resort Bali at Sayan,Indonesia,Asia-Pacific,https://www.fourseasons.com/sayan/,@fsbali,https://www.instagram.com/fsbali,Forbes,,@fsbali is the shared Four Seasons Resorts Bali account (Sayan + Jimbaran Bay).
129,Four Seasons Resort Dubai at Jumeirah Beach,United Arab Emirates,Middle East,https://www.fourseasons.com/dubaijb/,@fsdubai,https://www.instagram.com/fsdubai,Forbes,,
130,Four Seasons Resort Hualalai,United States,Americas,https://www.fourseasons.com/hualalai/,@fshualalai,https://www.instagram.com/fshualalai,"Forbes, Gold List","US 2025, UK 2025",
131,Four Seasons Resort Lanai,United States,Americas,https://www.fourseasons.com/lanai/,@fslanai,https://www.instagram.com/fslanai,Forbes,,Covers Four Seasons Resort Lanai and sister Sensei Lanai.
132,Four Seasons Resort Maldives at Kuda Huraa,Maldives,Asia-Pacific,https://www.fourseasons.com/maldiveskh/,@fsmaldives,https://www.instagram.com/fsmaldives,Forbes,,Shared Four Seasons Resorts Maldives account; no Kuda Huraa-specific account.
133,Four Seasons Resort Maui at Wailea,United States,Americas,https://www.fourseasons.com/maui/,@fsmaui,https://www.instagram.com/fsmaui,Forbes,,
134,Four Seasons Resort Palm Beach,United States,Americas,https://www.fourseasons.com/palmbeach/,@fspalmbeach,https://www.instagram.com/fspalmbeach,Forbes,,
135,"Four Seasons Resort Peninsula Papagayo, Costa Rica",Costa Rica,Americas,https://www.fourseasons.com/costarica/,@fscostarica,https://www.instagram.com/fscostarica,Forbes,,
136,"Four Seasons Resort Punta Mita, Mexico",Mexico,Americas,https://www.fourseasons.com/puntamita/,@fspuntamita,https://www.instagram.com/fspuntamita,Forbes,,
137,"Four Seasons Resort The Nam Hai, Hoi An",Vietnam,Asia-Pacific,https://www.fourseasons.com/hoian/,@fsnamhai,https://www.instagram.com/fsnamhai,Forbes,,
138,Galaxy Hotel Macau,China,Asia-Pacific,https://www.galaxymacau.com/hotels/galaxy-hotel/,@galaxymacau,https://www.instagram.com/galaxymacau,Forbes,,Integrated-resort account; no Galaxy Hotel-specific account.
139,Gangtey Lodge,Bhutan,Asia-Pacific,https://gangteylodge.com/,@gangteylodge,https://www.instagram.com/gangteylodge,Gold List,"US 2025, UK 2025",From official site footer.
140,Gardena Grödnerhof,Italy,Europe,https://www.gardena.it/en/,@gardenagroednerhof,https://www.instagram.com/gardenagroednerhof,Forbes,,
141,Gleneagles,United Kingdom,Europe,https://gleneagles.com/,@thegleneagleshotel,https://www.instagram.com/thegleneagleshotel,Manual add,,Resort account (distinct from Gleneagles Townhouse).
142,Gran Hotel Inglés,Spain,Europe,https://hiddenhotels.com/gran-hotel-ingles/en,@granhotelingles,https://www.instagram.com/granhotelingles,Gold List,"US 2025, UK 2025",Property page on Hidden Hotels site; own IG in footer.
143,Grand Hotel Excelsior Vittoria,Italy,Europe,https://excelsiorvittoria.com/,@excelsiorvittoria,https://www.instagram.com/excelsiorvittoria,Gold List,"US 2026, UK 2026",From official site.
144,Grand Hotel Son Net,Spain,Europe,https://sonnet.es/,@grandhotelsonnet,https://www.instagram.com/grandhotelsonnet,Gold List,"US 2026, UK 2026",From official site footer.
145,Grand Hôtel,Sweden,Europe,https://grandhotel.se/en,@grandhotelstockholm,https://www.instagram.com/grandhotelstockholm,Gold List,"US 2026, UK 2026",From official site.
146,Grand Lisboa Hotel,China,Asia-Pacific,https://www.grandlisboa.com/en,,,Forbes,,"Official site publishes only Facebook/WeChat; two plausible IG accounts, unconfirmed. Left blank."
147,Grand Lisboa Palace Macau,China,Asia-Pacific,https://www.grandlisboapalace.com/en/hotels/grand-lisboa-palace-macau,@grandlisboapalace,https://www.instagram.com/grandlisboapalace,Forbes,,
148,Grand Park Hotel Rovinj,Croatia,Europe,https://www.maistra.com/properties/grand-park-hotel-rovinj/,@maistra_collection,https://www.instagram.com/maistra_collection,World's 50 Best,,No property-specific account; parent Maistra Collection account used.
149,Grand Velas Los Cabos,Mexico,Americas,https://loscabos.grandvelas.com/,@grandvelascabos,https://www.instagram.com/grandvelascabos,Forbes,,
150,"Grand-Hôtel du Cap-Ferrat, A Four Seasons Hotel",France,Europe,https://www.fourseasons.com/capferrat/,@fscapferrat,https://www.instagram.com/fscapferrat,Forbes,,
151,"Grosvenor House, a Luxury Collection Hotel, Dubai",United Arab Emirates,Middle East,https://www.marriott.com/en-us/hotels/dxbgl-grosvenor-house-a-luxury-collection-hotel-dubai/overview/,@grosvenorhouse,https://www.instagram.com/grosvenorhouse,Forbes,,Official page on Marriott (Luxury Collection).
152,Gstaad Palace,Switzerland,Europe,https://www.palace.ch/en/,@gstaadpalace,https://www.instagram.com/gstaadpalace,Gold List,"US 2025, UK 2025",From official site footer.
153,"Hacienda AltaGracia, Auberge Resorts Collection",Costa Rica,Americas,https://auberge.com/altagracia/,@altagraciaauberge,https://www.instagram.com/altagraciaauberge,Gold List,"US 2025, UK 2025",Property page on Auberge site.
154,Halekulani Okinawa,Japan,Asia-Pacific,https://www.okinawa.halekulani.com/en/,@halekulani_okinawa,https://www.instagram.com/halekulani_okinawa,Forbes,,
